Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Crop;Mean;Error;StdDev;Gen 0;Gen 1;Gen 2;Allocated
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;0;"5,976.678 ms";"3,525.841 ms";193.2633 ms;90000.0000;22000.0000;4000.0000;521.62 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;0;"2,848.916 ms";272.160 ms;14.9180 ms;73000.0000;19000.0000;4000.0000;422.84 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;0;"4,265.549 ms";665.409 ms;36.4733 ms;332000.0000;121000.0000;6000.0000;1961.9 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;2;"4,412.927 ms";871.967 ms;47.7954 ms;78000.0000;19000.0000;4000.0000;449.29 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;2;"2,345.166 ms";292.153 ms;16.0139 ms;63000.0000;16000.0000;3000.0000;366.15 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;2;"3,820.078 ms";"2,564.212 ms";140.5531 ms;294000.0000;106000.0000;6000.0000;1735.42 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;4;"3,409.035 ms";"2,020.666 ms";110.7595 ms;66000.0000;15000.0000;3000.0000;383.18 MB
Trie;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;4;"1,899.657 ms";360.494 ms;19.7599 ms;54000.0000;14000.0000;3000.0000;314.26 MB
Trie256;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;4;"3,231.578 ms";634.957 ms;34.8041 ms;258000.0000;93000.0000;6000.0000;1516.36 MB
HashTable;EncodeCroppedJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;6;"2,572.770 ms";503.773 ms;27.6135 ms;57000.0000;15000.0000;4000.0000;324.05 MB
