Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Crop;Mean;Error;StdDev;Gen 0;Gen 1;Gen 2;Allocated
HashTable;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;0;796.876 ms;757.1364 ms;41.5012 ms;30000.0000;8000.0000;2000.0000;178015.39 KB
Trie;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;0;729.167 ms;126.0857 ms;6.9112 ms;25000.0000;6000.0000;2000.0000;148240.57 KB
Trie256;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;0;"1,439.472 ms";194.4835 ms;10.6603 ms;118000.0000;43000.0000;5000.0000;703784.02 KB
Huffman;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;0;47.905 ms;29.7053 ms;1.6282 ms;0.0000;0.0000;0.0000;927.52 KB
HashTable;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;2;610.881 ms;118.4517 ms;6.4927 ms;26000.0000;7000.0000;2000.0000;154571.48 KB
Trie;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;2;628.782 ms;57.9153 ms;3.1745 ms;22000.0000;6000.0000;2000.0000;130023.77 KB
Trie256;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;2;"1,293.611 ms";149.8123 ms;8.2117 ms;106000.0000;39000.0000;5000.0000;627770.66 KB
Huffman;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;2;42.108 ms;12.5116 ms;0.6858 ms;0.0000;0.0000;0.0000;813.35 KB
HashTable;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;4;501.872 ms;28.8263 ms;1.5801 ms;22000.0000;6000.0000;2000.0000;132666.66 KB
Trie;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;4;492.751 ms;122.3517 ms;6.7065 ms;19000.0000;5000.0000;2000.0000;112618.03 KB
Trie256;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;4;"1,097.987 ms";150.9870 ms;8.2761 ms;93000.0000;34000.0000;5000.0000;551345.67 KB
Huffman;EncodeCroppedGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;4;37.363 ms;25.1133 ms;1.3765 ms;0.0000;0.0000;0.0000;704.41 KB
