Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Colors;Mean;Error;StdDev;Gen 0;Gen 1;Gen 2;Allocated
'HashTable - Prime 12289';EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;32;336.66 ms;608.225 ms;33.339 ms;26000.0000;7000.0000;2000.0000;150938.42 KB
'Trie - Initial capacity 1';EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;32;441.83 ms;138.921 ms;7.615 ms;18000.0000;5000.0000;2000.0000;107617.91 KB
Trie256;EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;32;675.98 ms;229.695 ms;12.590 ms;57000.0000;21000.0000;4000.0000;333168.97 KB
Huffman;EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;32;24.09 ms;3.514 ms;0.193 ms;0.0000;0.0000;0.0000;554.45 KB
'HashTable - Prime 12289';EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;64;413.50 ms;86.584 ms;4.746 ms;26000.0000;7000.0000;2000.0000;157065.42 KB
'Trie - Initial capacity 1';EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;64;485.30 ms;33.473 ms;1.835 ms;19000.0000;5000.0000;2000.0000;114775.76 KB
Trie256;EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;64;854.91 ms;100.285 ms;5.497 ms;74000.0000;27000.0000;4000.0000;436722.59 KB
Huffman;EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;64;33.08 ms;13.363 ms;0.732 ms;0.0000;0.0000;0.0000;669.75 KB
'HashTable - Prime 12289';EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;128;586.79 ms;482.299 ms;26.436 ms;28000.0000;7000.0000;2000.0000;166367.87 KB
'Trie - Initial capacity 1';EncodeGrayScaleJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 2.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;3;Default;Default;Default;Default;ColdStart;1;1;128;605.76 ms;394.965 ms;21.649 ms;21000.0000;5000.0000;2000.0000;127309.22 KB
